,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
0,2.559,2.559,2.559,2.5634,2.8602067004252043,2.8962496290307973,2.8275851596467176,3.294126313395378,4.099907923586376,4.43555671180566,3.6504752562210174,3.197949878016911,2.5088083780044617,3.1152787889692637,3.349207414217811,3.7316228818592165,4.0289547228913465,4.906296165749393,5.496792292467448,4.2516328845452875,4.201184304572434
1,2.559,2.559,2.559,2.5634,2.845907308459666,2.8145834793413673,2.917926477656771,3.2775088941285646,4.105811958427413,4.451889266903718,3.8130297415395735,3.2119161877842197,2.5933518451784168,3.109156080225444,3.4152719187214884,3.8380832147964403,3.9842269712178453,4.886498980428453,5.432666174437684,4.128542267103539,4.243080291713581
2,2.559,2.559,2.559,2.5634,2.8173085245285896,2.8900861460353684,2.91639526887694,3.3258504774502042,4.060441392821461,4.402432084110325,3.7017548128494635,3.193294441427808,2.5149569937989313,3.129054883642858,3.3768623230798154,3.8243954577045116,4.008904351451502,4.993099209079674,5.549970048882373,4.169572472917455,4.148426394839138
3,2.559,2.559,2.559,2.5634,2.877683735049751,2.8808409215422253,2.8520845001240205,3.238231357679732,4.120782160160787,4.46730629721377,3.7153098350776737,3.15294732432225,2.551848688565748,3.1596684273619564,3.386080626033817,3.845687524291956,4.005819678922294,4.845381749377267,5.431102122778421,4.306865853910176,4.171701943250887
4,2.559,2.559,2.559,2.5634,2.839552023141649,2.8392374113230816,2.8306475772063804,3.2291673108069245,4.078006210533059,4.47382494492648,3.9039349325784265,3.165361821893191,2.542625764874044,3.167321813291731,3.3906897775108176,3.806145114915273,3.9163641755752914,4.994622069488978,5.52338117067491,4.292663090359204,4.191874085207735
5,2.559,2.559,2.559,2.5634,2.923759553605375,2.7991747718527953,2.8750526318214917,3.2790195686073655,4.06879338957805,4.5389874102525924,3.8164189890460505,3.125014704787633,2.5118826859016963,3.1948740026389197,3.3630348686488127,3.787894772126035,3.8947714678708425,4.988530627851765,5.388872727978334,4.322646702300142,4.202736007799885
6,2.559,2.559,2.559,2.5634,2.8586178790957,2.8854635337887973,2.832178785986212,3.242763381116136,4.07673525158306,4.473060612768324,3.9105547357867403,3.228986121944263,2.5211056095934006,3.1581377501760013,3.4536815143631614,3.7453106389511457,4.0289547228913465,4.961119140484309,5.407641347889483,4.175884812273441,4.1685985367959875
7,2.559,2.559,2.559,2.5634,2.920581910946366,2.8793000507933684,2.838303621105538,3.310743732662192,4.151992274012506,4.473155920578355,3.6402474439489008,3.227434309747896,2.5334028411823395,3.1795672307793703,3.3507437980434776,3.739227191354733,4.016616032774519,4.927616211479638,5.432666174437684,4.231117781638329,4.218253040074384
8,2.559,2.559,2.559,2.5634,2.9031048763218195,2.8176652208390816,2.9010831810786257,3.2926156389165766,4.144668327483897,4.5019655217634424,3.6962512189671326,3.173120882875029,2.582591767538095,3.1382389467585874,3.3891533936851506,3.740748053253836,3.9487532371319647,4.9900534882610685,5.532765480630485,4.205868424214381,4.226011556211634
9,2.559,2.559,2.559,2.5634,2.877683735049751,2.8315330575787963,2.8934271371794686,3.300169011310583,4.0320073756930395,4.430814965416099,3.6980855577712655,3.1638100096968236,2.5149569937989313,3.2009967113827393,3.3676440201258138,3.740748053253836,4.02587005036214,4.87583895756333,5.52338117067491,4.253210969384284,4.190322381980285
