,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
0,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
1,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
2,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
3,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
4,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
5,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
6,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
7,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
8,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
9,2.559,2.559,2.559,2.5634,2.5890340000000003,2.6149243400000004,2.6410735834000003,2.6674843192340005,2.6941591624263403,2.7211007540506036,2.7483117615911095,2.7757948792070204,2.8035528279990904,2.8315883562790813,2.8599042398418724,2.888503282240291,2.917388315062694,2.946562198213321,2.9760278201954544,3.005788098397409,3.035845979381383
